hcc_id,community_size,n_unique_hashtags,primary_brand,brand_label_auto,brand_combo,brand_confidence,brand_label_source,top_brand_score,second_brand,second_brand_score,top_brand_share,product_context_top_brand,product_context_top_score,product_context_second_brand,product_context_second_score,product_context_top_share,product_context_combo,azarine_score,daviena_score,maryame_score,the_originote_score,azarine_users,daviena_users,maryame_users,the_originote_users,azarine_videos,daviena_videos,maryame_videos,the_originote_videos,azarine_context_comments,daviena_context_comments,maryame_context_comments,the_originote_context_comments,azarine_context_users,daviena_context_users,maryame_context_users,the_originote_context_users,azarine_context_videos,daviena_context_videos,maryame_context_videos,the_originote_context_videos,top_brand_hashtags,top_5_hashtags_overall
34,3,20,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,hashtag_lexicon,3,Maryame,1,0.6,Daviena,4,Maryame,4,0.3333,Daviena + Maryame + Azarine + The Originote,0,3,1,1,0,6,2,2,0,3,1,1,2,4,4,2,2,3,2,2,1,2,2,1,retinoldaviena(1); davienaskincare(1); ownerdavienaskincare(1),azarinesuperserum(1); serum(1); serumtheoriginote(1); dokterdetektif(1); maryame(1)
40,5,13,Daviena,Daviena,Daviena,High,hashtag_lexicon,3,,0,1.0,Daviena,23,,0,1.0000,Daviena,0,3,0,0,0,10,0,0,0,3,0,0,0,23,0,0,0,5,0,0,0,3,0,0,retinoldaviena(2); davienaskincare(1),retinoldaviena(2); skincaretips(1); sleepingmaskretinoldaviena(1); retinol(1); sleepingmaskretinolbooster(1)
43,4,21,Maryame,Mixed_3plus_Brands,Maryame + Azarine + The Originote,Medium,hashtag_lexicon,2,Azarine,1,0.5,Maryame,12,Azarine,8,0.5000,Maryame + Azarine + The Originote,1,0,2,1,4,0,4,4,1,0,2,1,8,0,12,4,4,0,4,4,2,0,3,1,maryame(2),maryame(2); mengurangitandapenuaan(1); theoriginote(1); berawaldaritiktokshop(1); skincareviral(1)
44,7,10,The Originote,The Originote,The Originote + Daviena,Medium,hashtag_lexicon,2,Daviena,1,0.6667,The Originote,14,Daviena,7,0.6667,The Originote + Daviena,0,1,0,2,0,7,0,14,0,1,0,2,0,7,0,14,0,7,0,7,0,1,0,2,reviewserumtheoriginote(1); theoriginote(1),fyf(1); ceritaiketia(1); retinoldaviena(1); pejuangglowing(1); pejuangglowup(1)
46,5,21,The Originote,Mixed_3plus_Brands,The Originote + Azarine + Maryame,Medium,hashtag_lexicon,2,Azarine,1,0.5,Azarine,10,Maryame,10,0.3333,Azarine + Maryame + The Originote,1,0,1,2,5,0,5,10,1,0,1,2,10,0,10,10,5,0,5,5,2,0,2,2,theoriginote(1); reviewserumtheoriginote(1),acnefighter(1); creammaryamebeautee(1); rekomendasiserum(1); reviewserum(1); brighteningserum(1)
47,6,24,Daviena,Mixed_3plus_Brands,Daviena + Maryame + The Originote,Low,hashtag_lexicon,1,Maryame,1,0.3333,Daviena,12,Maryame,6,0.6000,Daviena + Maryame + The Originote,0,1,1,1,0,6,6,2,0,1,1,1,0,12,6,2,0,6,6,2,0,2,1,1,davienaretinol(1),retinolskincare(2); racunnabella(1); brightb3serum(1); theoriginote(1); daycream(1)
48,6,10,Maryame,Maryame,Maryame,High,hashtag_lexicon,2,,0,1.0,Maryame,12,Daviena,6,0.6667,Maryame + Daviena,0,0,2,0,0,0,12,0,0,0,2,0,0,6,12,0,0,6,6,0,0,1,2,0,maryamebeautyglowupcream(1); maryame(1),skincareviral(1); gayaditiktok(1); kerajaanglowing(1); retinol(1); reviewjudes(1)
50,5,33,Daviena,Daviena,Daviena + Maryame + The Originote,Medium,hashtag_lexicon,8,Maryame,2,0.7273,Daviena,20,Maryame,10,0.5000,Daviena + Maryame + Azarine + The Originote,0,8,2,1,0,20,10,5,0,8,2,1,5,20,10,5,5,5,5,5,1,4,2,1,davienaskincare(3); retinoldaviena(3); ownerdavienaskincare(1); daviena(1),retinol(3); retinoldaviena(3); davienaskincare(3); retinolskincare(2); glowup(2)
52,11,30,Azarine,Azarine,Azarine + Daviena,High,hashtag_lexicon,5,Daviena,1,0.8333,Azarine,68,Daviena,4,0.9189,Azarine + Daviena + Maryame,5,1,0,0,32,2,0,0,5,1,0,0,68,4,2,0,11,2,2,0,7,2,1,0,azarinecosmetic(2); marvelxazarine(2); azarine(1),retinol(4); marvelxazarine(2); retinolserum(2); serumazarine(2); azarinecosmetic(2)
53,5,21,Daviena,Daviena,Daviena,High,hashtag_lexicon,8,,0,1.0,Daviena,30,,0,1.0000,Daviena,0,8,0,0,0,15,0,0,0,8,0,0,0,30,0,0,0,5,0,0,0,6,0,0,davienaskincare(4); retinoldaviena(3); davienaretinol(1),davienaskincare(4); retinoldaviena(3); retinol(2); retinolbosterdaviena(1); reviewskincare(1)
