candidate,sample_set,preprocessing_variant,threshold,n_reference_labeled,n_evaluated,coverage,macro_f1,weighted_f1,accuracy,balanced_accuracy,mcc,negative_recall,neutral_recall,min_per_class_recall,min_per_class_f1,log_loss,brier_score,ece,uncertain_or_no_text_labels_excluded,positive_precision,positive_recall,positive_f1,positive_support,neutral_precision,neutral_f1,neutral_support,negative_precision,negative_f1,negative_support,selected_threshold
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.44,277,249,0.8989169675090253,0.7742270812515919,0.784701951283651,0.7831325301204819,0.7750141750141751,0.6684471972219418,0.7837837837837838,0.8181818181818182,0.7230769230769231,0.7295597484276729,1.2168523088405172,0.3768885082569868,0.1540231108096173,23,0.7833333333333333,0.7230769230769231,0.752,65,0.8653846153846154,0.8411214953271028,110,0.6823529411764706,0.7295597484276729,74,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.45,277,244,0.8808664259927798,0.7730620038187116,0.7845880881895057,0.7827868852459017,0.7746617965367966,0.6667747375088984,0.7714285714285715,0.8181818181818182,0.734375,0.72,1.2129006394457529,0.37461877100309005,0.14991782853122176,23,0.7833333333333333,0.734375,0.7580645161290323,64,0.8653846153846154,0.8411214953271028,110,0.675,0.72,70,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.46,277,240,0.8664259927797834,0.7736972210320672,0.7853525393500519,0.7833333333333333,0.7756693881509881,0.6676821589258817,0.7761194029850746,0.8165137614678899,0.734375,0.7172413793103448,1.2167283201088397,0.3728478648793568,0.1475488323904396,23,0.7966101694915254,0.734375,0.7642276422764228,64,0.8640776699029126,0.839622641509434,109,0.6666666666666666,0.7172413793103448,67,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.47,277,233,0.8411552346570397,0.780395566330642,0.7916351013157338,0.7896995708154506,0.7819711538461539,0.6786976583571878,0.7846153846153846,0.8269230769230769,0.734375,0.723404255319149,1.2070403343385792,0.3641540323554392,0.14879303182026868,23,0.8103448275862069,0.734375,0.7704918032786885,64,0.8686868686868687,0.8472906403940886,104,0.6710526315789473,0.723404255319149,65,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.48,277,225,0.8122743682310469,0.7894232633996686,0.8029207488564416,0.8,0.7957346417810512,0.6963791670210974,0.8275862068965517,0.8252427184466019,0.734375,0.732824427480916,1.194110102770948,0.35380544960505317,0.15314858837155454,23,0.8245614035087719,0.734375,0.7768595041322314,64,0.8947368421052632,0.8585858585858586,103,0.6575342465753424,0.732824427480916,58,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.49,277,209,0.7545126353790613,0.811497958306469,0.8283845273461481,0.8229665071770335,0.8238358176476988,0.7330759334281268,0.8461538461538461,0.8217821782178217,0.8035714285714286,0.7333333333333333,1.1825386895253762,0.3353528270151892,0.16388400391505006,23,0.8333333333333334,0.8035714285714286,0.8181818181818182,56,0.9540229885057471,0.8829787234042553,101,0.6470588235294118,0.7333333333333333,52,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.5,277,202,0.7292418772563177,0.8111660390940396,0.8267452100738604,0.8217821782178217,0.8217889363722697,0.7315989203849156,0.8461538461538461,0.8229166666666666,0.7962962962962963,0.7394957983193278,1.1902125846978295,0.3303257483042519,0.1570244141588076,23,0.8269230769230769,0.7962962962962963,0.8113207547169812,54,0.9518072289156626,0.88268156424581,96,0.6567164179104478,0.7394957983193278,52,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.51,277,195,0.703971119133574,0.8092256125751272,0.825655215334827,0.8205128205128205,0.8211919792466906,0.7288758682533283,0.8367346938775511,0.8191489361702128,0.8076923076923077,0.7321428571428571,1.2045568578631944,0.3253470445682785,0.15000466810573634,23,0.8235294117647058,0.8076923076923077,0.8155339805825242,52,0.9506172839506173,0.88,94,0.6507936507936508,0.7321428571428571,49,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.52,277,189,0.6823104693140795,0.8185521397288674,0.8352586267026539,0.8306878306878307,0.8288721285615696,0.7418357787612162,0.8333333333333334,0.8369565217391305,0.8163265306122449,0.7407407407407407,1.2106804851791209,0.3176091516496524,0.15526396734790024,23,0.8333333333333334,0.8163265306122449,0.8247422680412371,49,0.9506172839506173,0.8901734104046243,92,0.6666666666666666,0.7407407407407407,48,False
ensemble_human_A0.00_B0.25_C0.75,development,social_normalized,0.53,277,182,0.6570397111913358,0.8270355148491856,0.8457123337941078,0.8406593406593407,0.8388988272709202,0.7553382822872331,0.8372093023255814,0.8461538461538461,0.8333333333333334,0.7346938775510204,1.205699239883893,0.308726434569645,0.1594890258159099,23,0.8695652173913043,0.8333333333333334,0.851063829787234,48,0.9506172839506173,0.8953488372093024,91,0.6545454545454545,0.7346938775510204,43,False
