group_type,group_name,token,count,rank
brand_label_auto,Daviena,beli,12,12
brand_label_auto,Daviena,emang,11,13
brand_label_auto,Daviena,buat,11,14
brand_label_auto,Daviena,boleh,11,15
brand_label_auto,Daviena,pemakaian,11,16
brand_label_auto,Daviena,bagus,10,17
brand_label_auto,Daviena,apa,10,18
brand_label_auto,Daviena,seneng,10,19
brand_label_auto,Daviena,ada,9,20
brand_label_auto,Daviena,moist,8,21
brand_label_auto,Daviena,lembab,8,22
brand_label_auto,Daviena,sekali,8,23
brand_label_auto,Daviena,rutin,8,24
brand_label_auto,Daviena,lebih,8,25
brand_label_auto,Daviena,tetep,8,26
brand_label_auto,Daviena,lagi,8,27
brand_label_auto,Daviena,pakek,7,28
brand_label_auto,Daviena,harga,7,29
brand_label_auto,Daviena,nemu,7,30
brand_label_auto,Daviena,isinya,7,31
brand_label_auto,Daviena,hasilnya,7,32
brand_label_auto,Daviena,kulitku,7,33
brand_label_auto,Daviena,beneran,7,34
brand_label_auto,Daviena,ngerasain,7,35
brand_label_auto,Daviena,enak,6,36
brand_label_auto,Daviena,sensitif,6,37
brand_label_auto,Daviena,packaging,6,38
brand_label_auto,Daviena,lucu,6,39
brand_label_auto,Daviena,penting,6,40
brand_label_auto,Daviena,terus,6,41
brand_label_auto,Daviena,kombinasi,6,42
brand_label_auto,Daviena,nyaman,6,43
brand_label_auto,Daviena,lengket,6,44
brand_label_auto,Daviena,cocok²,6,45
brand_label_auto,Daviena,murah,6,46
brand_label_auto,Daviena,cara,6,47
brand_label_auto,Daviena,wah,6,48
brand_label_auto,Daviena,hal,6,49
brand_label_auto,Daviena,pas,6,50
brand_label_auto,Daviena,pke,5,51
brand_label_auto,Daviena,paket,5,52
brand_label_auto,Daviena,muka,5,53
brand_label_auto,Daviena,toner,5,54
brand_label_auto,Daviena,club,5,55
brand_label_auto,Daviena,alhamdulillah,5,56
brand_label_auto,Daviena,iritasi,5,57
brand_label_auto,Daviena,kemaren,5,58
brand_label_auto,Daviena,semoga,5,59
brand_label_auto,Daviena,segitu,5,60
brand_label_auto,Daviena,lumayan,5,61
brand_label_auto,Daviena,puas,5,62
brand_label_auto,Daviena,jerawat,5,63
brand_label_auto,Daviena,masih,5,64
brand_label_auto,Daviena,mana,5,65
brand_label_auto,Daviena,makasih,5,66
brand_label_auto,Daviena,pengalamannya,5,67
brand_label_auto,Daviena,try,5,68
brand_label_auto,Daviena,hari,4,69
brand_label_auto,Daviena,kalo,4,70
brand_label_auto,Daviena,akhirnya,4,71
brand_label_auto,Daviena,breakout,4,72
brand_label_auto,Daviena,kalau,4,73
brand_label_auto,Daviena,dok,4,74
brand_label_auto,Daviena,pengen,4,75
brand_label_auto,Daviena,gtu,4,76
brand_label_auto,Daviena,serum,4,77
