actor_type_primary,weekday_name_id,weekday_number,hour_local,n_comments,n_unique_actors,n_unique_videos,comment_share_within_actor_type
Mass Actor,Rabu,3,2,42,38,13,0.0013352832708081643
Mass Actor,Rabu,3,3,44,40,18,0.001398868188465696
Mass Actor,Rabu,3,4,48,44,14,0.0015260380237807592
Mass Actor,Rabu,3,5,132,130,29,0.004196604565397088
Mass Actor,Rabu,3,6,191,189,24,0.006072359636294271
Mass Actor,Rabu,3,7,203,190,33,0.006453869142239461
Mass Actor,Rabu,3,8,264,243,39,0.008393209130794176
Mass Actor,Rabu,3,9,249,236,40,0.007916322248362688
Mass Actor,Rabu,3,10,217,208,48,0.006898963565842182
Mass Actor,Rabu,3,11,245,227,43,0.007789152413047625
Mass Actor,Rabu,3,12,209,195,40,0.006644623895212056
Mass Actor,Rabu,3,13,219,200,44,0.006962548483499714
Mass Actor,Rabu,3,14,208,191,41,0.00661283143638329
Mass Actor,Rabu,3,15,196,175,44,0.0062313219304381
Mass Actor,Rabu,3,16,163,161,40,0.005182170789088828
Mass Actor,Rabu,3,17,196,189,42,0.0062313219304381
Mass Actor,Rabu,3,18,265,249,44,0.008425001589622942
Mass Actor,Rabu,3,19,319,289,47,0.010141794366376295
Mass Actor,Rabu,3,20,298,279,44,0.009474152730972213
Mass Actor,Rabu,3,21,342,318,41,0.01087302091943791
Mass Actor,Rabu,3,22,326,299,39,0.010364341578177656
Mass Actor,Rabu,3,23,193,179,38,0.006135944553951803
Mass Actor,Kamis,4,0,136,129,29,0.004323774400712151
Mass Actor,Kamis,4,1,85,82,21,0.0027023590004450946
Mass Actor,Kamis,4,2,76,72,19,0.002416226870986202
Mass Actor,Kamis,4,3,52,49,12,0.0016532078590958225
Mass Actor,Kamis,4,4,83,79,18,0.002638774082787563
Mass Actor,Kamis,4,5,200,187,27,0.006358491765753163
Mass Actor,Kamis,4,6,283,261,32,0.008997265848540726
Mass Actor,Kamis,4,7,385,367,34,0.01224009664907484
Mass Actor,Kamis,4,8,434,414,41,0.013797927131684365
Mass Actor,Kamis,4,9,404,371,39,0.01284415336682139
Mass Actor,Kamis,4,10,295,277,40,0.009378775354485915
Mass Actor,Kamis,4,11,242,227,39,0.007693775036561328
Mass Actor,Kamis,4,12,321,306,41,0.010205379284033827
Mass Actor,Kamis,4,13,319,296,42,0.010141794366376295
Mass Actor,Kamis,4,14,277,269,40,0.008806511095568131
Mass Actor,Kamis,4,15,236,228,39,0.007503020283588732
Mass Actor,Kamis,4,16,220,208,40,0.00699434094232848
Mass Actor,Kamis,4,17,232,212,43,0.00737585044827367
Mass Actor,Kamis,4,18,205,193,41,0.0065174540598969925
Mass Actor,Kamis,4,19,260,249,45,0.008266039295479113
Mass Actor,Kamis,4,20,270,256,43,0.00858396388376677
Mass Actor,Kamis,4,21,248,238,44,0.007884529789533922
Mass Actor,Kamis,4,22,223,195,39,0.007089718318814777
Mass Actor,Kamis,4,23,143,131,37,0.004546321612513512
Mass Actor,Jumat,5,0,89,79,26,0.0028295288357601577
Mass Actor,Jumat,5,1,63,58,21,0.0020029249062122464
Mass Actor,Jumat,5,2,43,40,20,0.00136707572963693
Mass Actor,Jumat,5,3,24,24,15,0.0007630190118903796
Mass Actor,Jumat,5,4,60,55,26,0.001907547529725949
Mass Actor,Jumat,5,5,90,87,29,0.0028613212945889236
Mass Actor,Jumat,5,6,140,130,32,0.004450944236027214
Mass Actor,Jumat,5,7,234,217,36,0.0074394353659312015
Mass Actor,Jumat,5,8,242,219,40,0.007693775036561328
Mass Actor,Jumat,5,9,198,179,41,0.006294906848095631
Mass Actor,Jumat,5,10,236,217,42,0.007503020283588732
Mass Actor,Jumat,5,11,236,219,42,0.007503020283588732
Mass Actor,Jumat,5,12,271,251,45,0.008615756342595536
Mass Actor,Jumat,5,13,192,177,41,0.006104152095123037
Mass Actor,Jumat,5,14,191,183,44,0.006072359636294271
Mass Actor,Jumat,5,15,168,162,43,0.005341133083232657
Mass Actor,Jumat,5,16,166,152,39,0.005277548165575126
Mass Actor,Jumat,5,17,175,155,40,0.005563680295034018
Mass Actor,Jumat,5,18,203,187,40,0.006453869142239461
Mass Actor,Jumat,5,19,217,207,43,0.006898963565842182
Mass Actor,Jumat,5,20,209,201,46,0.006644623895212056
