individual_username,individual_subtype,hcc_id,shared_video_count,creator_video_count,hcc_account_count,hcc_comment_count,first_hcc_comment_timestamp,last_hcc_comment_timestamp,target_brand,hcc_goal_orientation,association_type
dr.okypratamaa_kedua,Video Creator,134,1,1,3,3,2024-10-26 10:50:23+00:00,2024-10-26 13:49:36+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dr.okypratamaa_kedua,Video Creator,14,1,1,3,3,2024-10-22 04:49:33+00:00,2024-10-22 04:52:09+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dr.okypratamaa_kedua,Video Creator,150,1,1,6,6,2024-10-22 03:58:46+00:00,2024-11-24 04:47:21+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dr.okypratamaa_kedua,Video Creator,34,1,1,2,2,2024-10-22 05:08:20+00:00,2024-10-22 06:54:06+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dr.okypratamaa_kedua,Video Creator,75,1,1,4,4,2024-10-23 07:28:51+00:00,2024-10-23 07:30:37+00:00,Maryame,Mixed Goals,Observed Creator-Community Context
dww.srtk,Video Creator,191,1,1,5,5,2024-01-03 22:02:25+00:00,2024-01-03 22:05:24+00:00,The Originote,Promotional / Supportive,Observed Creator-Community Context
dww.srtk,Video Creator,46,1,1,7,7,2026-01-27 06:36:58+00:00,2026-01-27 06:38:45+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
dww.srtk,Video Creator,48,1,1,5,5,2024-04-19 05:18:02+00:00,2024-04-19 05:19:47+00:00,The Originote,Mixed Goals,Observed Creator-Community Context
dww.srtk,Video Creator,5,1,1,8,8,2023-11-29 07:23:09+00:00,2026-01-10 00:49:29+00:00,The Originote,Neutral Engagement,Observed Creator-Community Context
faniabsaa,Video Creator,14,1,1,3,3,2023-10-05 14:24:21+00:00,2023-10-05 14:26:44+00:00,Daviena/Davina,Mixed Goals,Observed Creator-Community Context
