username_norm,username,mass_network_position,shared_hcc_video_count,n_hcc_accounts_shared_video,direct_reply_with_hcc_count,mass_replies_to_hcc_count,hcc_replies_to_mass_count,temporal_after_hcc_count,associated_hcc_count,mass_exposure_score,min_minutes_after_hcc,median_minutes_after_hcc,associated_hcc_ids,primary_associated_hcc,association_basis,mass_exposure_level,associated_hcc_brand_context
rtukrnia,rtukrnia,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
ru66yj4ne,ru66yj4ne,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
ruahusadadwiardhi,ruahusadadwiardhi,Outside LCN,2,20,0,0,0,0,5,2,,,1;14;18;63;150,63,Shared video context,Shared-Video Exposure,Maryame
ruang.rinduu0,ruang.rinduu0,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
ruang.sepi72,ruang.sepi72,Outside LCN,1,8,0,0,0,0,2,1,,,18;63,18,Shared video context,Shared-Video Exposure,The Originote
ruanghijrah09,ruanghijrah09,Outside LCN,1,18,0,0,0,0,4,1,,,5;17;99;134,5,Shared video context,Shared-Video Exposure,The Originote
ruangrindu.08,ruangrindu.08,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rubby.reads,rubby.reads,Outside LCN,1,15,0,0,0,0,4,1,,,50;54;63;103,50,Shared video context,Shared-Video Exposure,Maryame
rubiiii041,rubiiii041,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rubiyanti341,rubiyanti341,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
ruby832921,ruby832921,Outside LCN,1,11,0,0,0,0,2,1,,,17;132,17,Shared video context,Shared-Video Exposure,Maryame
rubyg50,rubyg50,Outside LCN,1,31,0,0,0,0,6,1,,,15;16;87;134;181;183,15,Shared video context,Shared-Video Exposure,The Originote
ruchufita,ruchufita,Outside LCN,1,23,0,0,0,0,6,1,,,60;74;90;103;134;168,60,Shared video context,Shared-Video Exposure,Daviena
rucsduabelasnollima,rucsduabelasnollima,Outside LCN,1,29,0,0,0,0,5,1,,,17;18;54;87;180,17,Shared video context,Shared-Video Exposure,Maryame
rudian_syh,rudian_syh,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rudianto9945,rudianto9945,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
rudiati03,rudiati03,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rudina2707,rudina2707,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rudy.tjan777,rudy.tjan777,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rudy___9,rudy___9,Outside LCN,1,8,0,0,0,0,3,1,,,14;20;34,14,Shared video context,Shared-Video Exposure,Daviena
rujakwaru,rujakwaru,Outside LCN,1,31,0,0,0,0,6,1,,,15;16;87;134;181;183,15,Shared video context,Shared-Video Exposure,The Originote
ruji.antini,ruji.antini,Outside LCN,1,22,0,0,0,0,4,1,,,2;17;20;50,2,Shared video context,Shared-Video Exposure,Maryame
rukmanalovers,rukmanalovers,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rukmiratri89,rukmiratri89,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rul.siregar,rul.siregar,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rulamandareza,rulamandareza,Outside LCN,1,8,0,0,0,0,2,1,,,18;63,18,Shared video context,Shared-Video Exposure,The Originote
rulianazizah,rulianazizah,Outside LCN,1,12,0,0,0,0,2,1,,,183;191,183,Shared video context,Shared-Video Exposure,The Originote
ruliirawan7,ruliirawan7,Outside LCN,1,18,0,0,0,2,5,5,3.066666666666667,4.466666666666667,14;34;75;134;150,150,Temporal association after HCC comment,Temporal-Context Exposure,Maryame
rullyanggita95,rullyanggita95,Outside LCN,1,12,0,0,0,0,4,1,,,14;20;42;63,14,Shared video context,Shared-Video Exposure,Daviena
rumaesagadis,rumaesagadis,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rumah.gedor,rumah.gedor,Outside LCN,1,19,0,0,0,0,4,1,,,1;17;52;113,1,Shared video context,Shared-Video Exposure,Daviena
rumah_mbak_endah,rumah_mbak_endah,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rumahedina,rumahedina,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rumahjualanternate,rumahjualanternate,Outside LCN,1,15,0,0,0,0,4,1,,,50;54;63;103,50,Shared video context,Shared-Video Exposure,Maryame
rumahyanghancur.com,rumahyanghancur.com,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rumiati1267,rumiati1267,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
rumiiiiii07,rumiiiiii07,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rumiyatialghany1,rumiyatialghany1,Outside LCN,1,21,0,0,0,0,4,1,,,45;48;113;150,45,Shared video context,Shared-Video Exposure,Maryame
rumsihsih1,rumsihsih1,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
rumy.arum6,rumy.arum6,Outside LCN,1,15,0,0,0,0,4,1,,,60;63;103;168,60,Shared video context,Shared-Video Exposure,Daviena
rumyruminy,rumyruminy,Outside LCN,1,18,0,0,0,1,5,3,31.3,31.3,14;34;75;134;150,34,Temporal association after HCC comment,Temporal-Context Exposure,Daviena
runbersamateamku,runbersamateamku,Outside LCN,1,18,0,0,0,0,5,1,,,14;34;75;134;150,14,Shared video context,Shared-Video Exposure,Daviena
rungkat070,rungkat070,Outside LCN,1,18,0,0,0,0,4,1,,,1;87;90;150,1,Shared video context,Shared-Video Exposure,Daviena
runjaeee_,runjaeee_,Outside LCN,1,25,0,0,0,0,4,1,,,5;46;48;191,5,Shared video context,Shared-Video Exposure,The Originote
ruqoyyahayoeyy,ruqoyyahayoeyy,Outside LCN,1,11,0,0,0,0,3,1,,,1;52;60,1,Shared video context,Shared-Video Exposure,Daviena
rurea__,rurea__,Outside LCN,1,25,0,0,0,0,4,1,,,5;46;48;191,5,Shared video context,Shared-Video Exposure,The Originote
rurii203,rurii203,Outside LCN,1,3,0,0,0,0,1,1,,,20,20,Shared video context,Shared-Video Exposure,Daviena
rus_kzikri,rus_kzikri,Outside LCN,1,9,0,0,0,0,3,1,,,17;34;206,17,Shared video context,Shared-Video Exposure,Maryame
rusdi5781,rusdi5781,Outside LCN,1,10,0,0,0,0,2,1,,,20;183,20,Shared video context,Shared-Video Exposure,Daviena
