id,label,node_type,actor_type_primary,n_accounts,n_comments,goal_orientation,target_brand,hcc_id,edge_type,dominant_sentiment
MASS_HCC_15_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 15 Positive,Mass Actor Segment,Mass Actor,213,292.0,Insufficient Text,,15,Ambiguous Community-Mass Association,Positive
MASS_HCC_15_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 15 Negative,Mass Actor Segment,Mass Actor,1,1.0,Insufficient Text,The Originote,15,Observed Community-Mass Temporal Association,Negative
MASS_HCC_15_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 15 Neutral,Mass Actor Segment,Mass Actor,1,1.0,Insufficient Text,The Originote,15,Observed Community-Mass Temporal Association,Neutral
MASS_HCC_15_Observed_Community_Mass_Temporal_Association_Positive,Mass Observed Community-Mass Temporal Association 15 Positive,Mass Actor Segment,Mass Actor,1,1.0,Insufficient Text,The Originote,15,Observed Community-Mass Temporal Association,Positive
MASS_HCC_15_Verified_Community_Mass_Direct_Interaction_Neutral,Mass Verified Community-Mass Direct Interaction 15 Neutral,Mass Actor Segment,Mass Actor,1,2.0,Insufficient Text,The Originote,15,Verified Community-Mass Direct Interaction,Neutral
MASS_HCC_168_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 168 Mixed,Mass Actor Segment,Mass Actor,56,159.0,Insufficient Text,,168,Ambiguous Community-Mass Association,Mixed
MASS_HCC_168_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 168 Negative,Mass Actor Segment,Mass Actor,29,63.0,Insufficient Text,,168,Ambiguous Community-Mass Association,Negative
MASS_HCC_168_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 168 Neutral,Mass Actor Segment,Mass Actor,215,385.0,Insufficient Text,,168,Ambiguous Community-Mass Association,Neutral
MASS_HCC_168_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 168 Positive,Mass Actor Segment,Mass Actor,43,82.0,Insufficient Text,,168,Ambiguous Community-Mass Association,Positive
MASS_HCC_16_Ambiguous_Community_Mass_Association_Mixed,Mass Ambiguous Community-Mass Association 16 Mixed,Mass Actor Segment,Mass Actor,101,261.0,Insufficient Text,,16,Ambiguous Community-Mass Association,Mixed
MASS_HCC_16_Ambiguous_Community_Mass_Association_Negative,Mass Ambiguous Community-Mass Association 16 Negative,Mass Actor Segment,Mass Actor,315,378.0,Insufficient Text,,16,Ambiguous Community-Mass Association,Negative
MASS_HCC_16_Ambiguous_Community_Mass_Association_Neutral,Mass Ambiguous Community-Mass Association 16 Neutral,Mass Actor Segment,Mass Actor,941,1340.0,Insufficient Text,,16,Ambiguous Community-Mass Association,Neutral
MASS_HCC_16_Ambiguous_Community_Mass_Association_Positive,Mass Ambiguous Community-Mass Association 16 Positive,Mass Actor Segment,Mass Actor,441,536.0,Insufficient Text,,16,Ambiguous Community-Mass Association,Positive
MASS_HCC_16_Observed_Community_Mass_Temporal_Association_Mixed,Mass Observed Community-Mass Temporal Association 16 Mixed,Mass Actor Segment,Mass Actor,2,6.0,Insufficient Text,Daviena,16,Observed Community-Mass Temporal Association,Mixed
MASS_HCC_16_Observed_Community_Mass_Temporal_Association_Negative,Mass Observed Community-Mass Temporal Association 16 Negative,Mass Actor Segment,Mass Actor,10,12.0,Insufficient Text,Daviena,16,Observed Community-Mass Temporal Association,Negative
MASS_HCC_16_Observed_Community_Mass_Temporal_Association_Neutral,Mass Observed Community-Mass Temporal Association 16 Neutral,Mass Actor Segment,Mass Actor,5,10.0,Insufficient Text,Daviena,16,Observed Community-Mass Temporal Association,Neutral
