source,target,edge_type,is_ambiguous_association,weight,raw_account_count,fractional_account_weight,shared_video_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
HCC_2,MASS_HCC_2_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,27.24091829223408,130,27.24091829223408,0.0,0,0,0,0.0,0.0
HCC_2,MASS_HCC_2_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,3.0,3,3.0,0.0,0,6,25,0.0,0.0
HCC_2,MASS_HCC_2_Verified_Community_Mass_Direct_Interaction_Neutral,Verified Community-Mass Direct Interaction,False,1.0,1,1.0,0.0,2,0,0,0.0,0.0
HCC_2,MASS_HCC_2_Verified_Community_Mass_Direct_Interaction_Positive,Verified Community-Mass Direct Interaction,False,1.0,1,1.0,0.0,2,0,0,0.0,0.0
HCC_20,MASS_HCC_20_Ambiguous_Community_Mass_Association_Mixed,Ambiguous Community-Mass Association,True,54.59983026971384,265,54.59983026971384,0.0,0,0,0,0.0,0.0
HCC_20,MASS_HCC_20_Ambiguous_Community_Mass_Association_Negative,Ambiguous Community-Mass Association,True,704.0288821257861,2219,704.0288821257861,0.0,0,0,0,0.0,0.0
HCC_20,MASS_HCC_20_Ambiguous_Community_Mass_Association_Neutral,Ambiguous Community-Mass Association,True,352.936544883565,1239,352.936544883565,0.0,0,0,0,0.0,0.0
HCC_20,MASS_HCC_20_Ambiguous_Community_Mass_Association_Positive,Ambiguous Community-Mass Association,True,451.13398433352,1406,451.13398433352,0.0,0,0,0,0.0,0.0
HCC_20,MASS_HCC_20_Observed_Community_Mass_Temporal_Association_Negative,Observed Community-Mass Temporal Association,False,13.0,13,13.0,0.0,0,14,35,0.0,0.0
HCC_20,MASS_HCC_20_Observed_Community_Mass_Temporal_Association_Neutral,Observed Community-Mass Temporal Association,False,6.0,6,6.0,0.0,0,6,18,0.0,0.0
HCC_20,MASS_HCC_20_Observed_Community_Mass_Temporal_Association_Positive,Observed Community-Mass Temporal Association,False,8.0,8,8.0,0.0,0,8,24,0.0,0.0
HCC_20,MASS_HCC_20_Shared_Video_Context_Only_Mixed,Shared-Video Context Only,False,18.0,18,18.0,0.0,0,0,0,0.0,0.0
HCC_20,MASS_HCC_20_Shared_Video_Context_Only_Negative,Shared-Video Context Only,False,287.0,287,287.0,0.0,0,0,0,0.0,0.0
HCC_20,MASS_HCC_20_Shared_Video_Context_Only_Neutral,Shared-Video Context Only,False,569.0,569,569.0,0.0,0,0,0,0.0,0.0
