username_norm,username,is_hcc_member,n_comments,evaluable_comments,coverage,positive_count,neutral_count,negative_count,uncertain_count,no text_count,negative_ratio,neutral_ratio,positive_ratio,dominant_sentiment
1674ie,1674ie,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1738ckjgi,1738ckjgi,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
17cwekampung,17cwekampung,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
17februari__2,17februari__2,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
17juwitaa,17juwitaa,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
17mei_05,17mei_05,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
17mery,17mery,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1811archives,1811archives,False,2,2,1.0,0,2,0,0,0,0.0,1.0,0.0,Neutral
18mayev_,18mayev_,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
18yann._,18yann._,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
196devina,196devina,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1983_1213,1983_1213,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
1985.bebalu.lengi,1985.bebalu.lengi,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
19juni23_,19juni23_,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
19maret92,19maret92,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
19rais0423,19rais0423,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
19ye.o,19ye.o,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1_j.u.l.i,1_j.u.l.i,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1borusilaban,1borusilaban,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1ccccoc,1ccccoc,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
1chloaengene,1chloaengene,False,2,2,1.0,0,1,1,0,0,0.5,0.5,0.0,Negative
1dontknowhoiam8,1dontknowhoiam8,False,2,2,1.0,0,2,0,0,0,0.0,1.0,0.0,Neutral
1july1998,1july1998,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1loveeniki,1loveeniki,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1luvelyaa,1luvelyaa,False,1,0,0.0,0,0,0,1,0,,,,No evaluable sentiment
1mh419,1mh419,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1nirina,1nirina,False,2,2,1.0,0,2,0,0,0,0.0,1.0,0.0,Neutral
1persent__,1persent__,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1tralalatrilili1,1tralalatrilili1,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
1urgirls_,1urgirls_,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1user244,1user244,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1wnthppy2026,1wnthppy2026,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
1yn_s,1yn_s,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
200206mira,200206mira,False,3,3,1.0,0,3,0,0,0,0.0,1.0,0.0,Neutral
201019rr,201019rr,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
2013_alexander,2013_alexander,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
2017.1112candra,2017.1112candra,False,1,0,0.0,0,0,0,1,0,,,,No evaluable sentiment
2026_kya,2026_kya,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
20_07_ahmad,20_07_ahmad,False,2,2,1.0,2,0,0,0,0,0.0,0.0,1.0,Positive
20geminijuni,20geminijuni,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
210476alfrsky,210476alfrsky,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
210501nf,210501nf,False,1,1,1.0,1,0,0,0,0,0.0,0.0,1.0,Positive
211moon_,211moon_,False,1,1,1.0,0,1,0,0,0,0.0,1.0,0.0,Neutral
2147838534,2147838534,False,1,1,1.0,0,0,1,0,0,1.0,0.0,0.0,Negative
